,temp,weather,market_value_diff,form_goal_diff,form_win_diff,HF_AD,HF_AG,HM_AM,HD_AF,HG_AF,best_player_diff,worst_player_diff,variance_players_diff,age_diff,goal_diff
637,15,Cloudy,-21260000,1.1102230246251565e-16,0.0,6.742424242424235,-10.666666666666671,1.6805555555555571,-0.7803030303030312,5.083333333333329,-8.0,5.0,-17.652892561983474,-1.6363636363636367,0
638,7,Cloudy,-60500000,-1.4,-0.7999999999999998,-3.3977272727272663,-16.625,-4.229166666666671,-4.397727272727266,5.125,-7.0,-1.0,-11.767447199265387,1.0808080808080796,-1
639,5,Cloudy,-51900000,-0.7999999999999999,-0.6000000000000001,7.825757575757578,5.916666666666671,-4.625,-5.143939393939391,2.6666666666666714,2.0,3.0,-2.3140495867768616,1.6363636363636367,1
640,10,Cloudy,260370000,0.7999999999999998,-0.19999999999999996,9.290404040404027,-3.2777777777777857,-3.9722222222222,2.5530303030303116,3.9166666666666714,3.0,1.0,0.5123966942148783,1.09090909090909,6
641,9,Cloudy,-144490000,1.8000000000000003,0.6000000000000001,3.4962121212121247,-7.208333333333329,-4.946969696969688,-3.912878787878782,8.041666666666671,-2.0,-12.0,7.474977043158862,-3.2525252525252526,1
642,18,Showers,-223870000,-1.4,-0.40000000000000013,-7.056818181818187,-18.125,-9.680555555555543,-4.62626262626263,-0.6944444444444429,-11.0,-10.0,-5.801652892561984,1.1818181818181834,-1
643,3,Cloudy,-229720000,-0.40000000000000013,-1.4,0.7727272727272663,-12.0,-1.6388888888888715,-3.714141414141409,3.7222222222222285,-7.0,2.0,-21.37190082644628,1.2727272727272734,0
644,1,Cloudy,-170080000,-1.4,-1.4,-6.931818181818173,-17.999999999999986,-9.513888888888872,-7.795454545454561,8.25,0.0,-15.0,26.909090909090907,0.0,-4
645,13,Clear,-239490000,0.19999999999999973,0.3999999999999999,-6.397727272727266,-20.375,-12.0625,-3.200757575757578,-2.5416666666666714,-11.0,1.0,-61.27272727272728,2.5454545454545467,-3
646,12,Showers,-223480000,-0.20000000000000007,0.20000000000000018,-0.28282828282829087,-6.305555555555557,-11.599999999999994,-4.428030303030312,-3.0416666666666714,-9.0,-16.0,10.247933884297513,-3.6363636363636367,-4
647,6,Showers,-222790000,-0.4,-0.20000000000000018,-3.6704545454545467,8.375,-8.416666666666671,-4.535353535353551,-61.44444444444446,-5.0,1.0,-13.52066115702478,0.8181818181818201,-4
648,7,Clear,-116680000,1.4000000000000001,1.0,2.6609848484848584,-7.770833333333329,-5.25,-5.853535353535364,5.222222222222214,-1.0,-4.0,4.628099173553714,1.7272727272727266,0
649,17,Cloudy,-140580000,1.4,1.2000000000000002,4.318181818181813,-6.75,-1.038888888888863,-1.5353535353535364,6.055555555555557,-3.0,1.0,-13.250484644424038,-1.9797979797979792,4
650,-1,Cloudy,-215640000,0.7999999999999998,1.4,-1.0984848484848584,-12.166666666666671,2.7694444444444457,-3.7474747474747687,3.8888888888888715,-7.0,1.0,-21.08825630037751,-2.2121212121212146,1
651,7,Showers,-237960000,-0.4,0.0,0.48295454545454675,-12.3125,-2.5,-6.306818181818187,-0.625,-9.0,-10.0,-5.37190082644628,1.0,0
652,9,Cloudy,-175140000,0.9999999999999996,0.0,3.851010101010104,-8.944444444444443,-6.395833333333329,-5.768939393939391,7.291666666666671,-3.0,-4.0,-1.6363636363636367,0.2727272727272734,-2
653,20,Sunny,-228370000,-1.6000000000000003,-1.0,2.055555555555557,-14.194444444444443,-1.7083333333333428,5.587121212121204,10.708333333333329,-8.0,8.0,-76.74380165289257,2.8181818181818166,-1
654,25,Cloudy,-228370000,-0.8,-0.6,4.310606060606062,1.5833333333333286,2.2083333333333286,-3.106818181818184,-2.625,1.0,-4.0,6.661157024793392,-4.0,-1
655,5,Cloudy,-191340000,-0.6000000000000001,-0.6000000000000001,-1.5454545454545467,-12.0,-9.041666666666671,-3.344696969696969,2.7916666666666714,-8.0,-6.0,-1.3388429752066102,-1.0,0
656,16,Cloudy,-230580000,0.3999999999999997,0.40000000000000013,-5.098484848484858,-16.16666666666667,-14.138888888888872,-8.421717171717177,5.055555555555557,-7.0,-6.0,1.0211202938475665,0.7424242424242422,-3
657,22,Sunny,-221980000,0.8,0.3999999999999999,-1.088383838383848,8.638888888888886,-8.756944444444443,-1.875,5.375,-7.0,6.0,-34.082644628099175,5.181818181818183,2
658,22,Clear,-10130000,2.0,1.0,3.454545454545439,-3.1666666666666714,3.3611111111111143,-1.6231060606060623,3.8541666666666714,1.0,3.0,-0.5857310478522604,2.3383838383838373,1
659,9,Cloudy,149440000,-0.40000000000000013,-0.3999999999999999,10.5030303030303,1.11666666666666,6.479166666666671,3.507575757575765,10.166666666666671,6.0,4.0,0.7155647382920112,1.116161616161616,2
660,13,Cloudy,44820000,-1.6000000000000003,-1.6,3.593434343434339,-3.0277777777777715,12.799999999999997,0.4734848484848584,6.791666666666671,4.0,5.0,-0.7272727272727266,1.09090909090909,1
661,3,Sunny,-26330000,-1.0000000000000002,-1.0,9.015151515151516,-1.1666666666666714,3.3916666666666515,-3.2916666666666714,-1.5416666666666714,-2.0,-2.0,1.2396694214876036,0.9090909090909065,-1
662,26,Cloudy,184140000,1.5999999999999999,2.0,7.9520202020201936,-11.3888888888889,4.4861111111111,-4.623737373737377,6.194444444444443,4.0,12.0,-18.809917355371898,3.545454545454543,1
663,10,Sunny,594760000,-0.8,-0.8,13.50757575757575,6.166666666666657,10.888888888888886,18.704545454545453,25.75,16.0,15.0,6.611570247933885,3.3636363636363633,1
664,23,Cloudy,-4950000,1.2000000000000002,0.0,4.528030303030306,-3.6083333333333343,3.4375,-3.546212121212136,2.4583333333333286,1.0,0.0,2.033976124885216,1.9040404040404049,-2
665,20,Sunny,21210000,1.6,1.5999999999999999,7.5719696969696955,-9.041666666666671,0.15277777777777146,10.277777777777771,7.7777777777777715,0.0,2.0,-6.0,-0.3636363636363633,-3
666,13,Sunny,90220000,0.3999999999999999,0.20000000000000018,-0.11363636363635976,-9.5,1.0208333333333428,8.045454545454547,-48.75,4.0,-1.0,23.900826446281002,-1.3636363636363633,1
667,25,Cloudy,28530000,2.0,0.8,3.8787878787878753,-3.6666666666666714,5.116666666666674,2.0626721763085527,10.083333333333329,4.0,-2.0,3.4944648505254556,1.9696969696969688,2
668,18,Breezy,52330000,-1.2,-0.5999999999999999,5.583333333333329,-3.9166666666666714,1.3055555555555571,-13.338383838383827,-61.1111111111111,6.0,-9.0,43.50413223140496,0.9090909090909065,-4
669,12,Cloudy,6210000,-0.19999999999999996,-0.3999999999999999,4.19886363636364,-5.1875,-7.694444444444464,13.431818181818187,16.25,4.0,10.0,-5.917355371900825,3.454545454545457,-1
670,14,Cloudy,18540000,-0.6,-0.5999999999999999,-2.280303030303031,-11.666666666666671,3.124999999999986,4.102272727272734,17.125,9.0,0.0,7.469540495867774,-0.05090909090909079,0
671,18,Sunny,-34490000,1.8,1.4,9.69191919191919,-6.194444444444443,-0.40972222222222854,-0.1325757575757649,1.9583333333333286,2.0,3.0,-1.6694214876033024,2.7272727272727266,3
672,-3,Sunny,586210000,-0.2000000000000004,-0.6000000000000001,12.846590909090907,6.1875,7.979166666666671,24.617424242424242,33.458333333333336,17.0,6.0,24.08264462809918,1.3636363636363669,4
673,12,Sunny,118660000,-0.19999999999999996,-0.6000000000000001,1.492424242424235,-5.166666666666671,7.520833333333329,23.806818181818187,32.625,7.0,9.0,-3.652892561983471,1.6363636363636367,-1
674,5,Sunny,468130000,-0.3999999999999999,0.8,16.181818181818187,6.0,8.944444444444429,5.396464646464651,15.055555555555557,11.0,5.0,9.983471074380162,2.0,1
675,18,Cloudy,24360000,1.2,1.0000000000000002,2.424242424242422,0.3333333333333286,1.375,-1.1022727272727337,4.375,-1.0,4.0,-3.0650698908274676,0.2474747474747474,-1
676,22,Cloudy,183930000,0.19999999999999996,0.6000000000000001,3.7398989898989896,-6.555555555555557,2.6388888888889,8.277777777777786,8.527777777777786,6.0,11.0,-10.545454545454549,-2.0909090909090935,-1
677,15,Cloudy,79310000,0.20000000000000007,0.9999999999999999,2.563131313131322,0.47222222222222854,-0.20138888888888573,-0.35227272727273373,6.875,4.0,-3.0,11.702479338842974,-2.2727272727272734,0
678,10,Sunny,8160000,-1.4,-1.6,4.424242424242422,2.3333333333333286,4.875,-1.0328282828282909,0.44444444444444287,-2.0,1.0,-0.74380165289256,-3.2727272727272734,1
679,7,Cloudy,218630000,-2.0,-1.4000000000000001,3.912878787878782,0.2083333333333286,-3.7083333333333144,-0.20454545454543904,6.916666666666671,4.0,-9.0,33.123966942148755,-1.1818181818181834,0
680,2,Cloudy,629250000,-1.2,-0.20000000000000018,9.922348484848484,7.604166666666671,4.979166666666671,-1.0606060606060623,9.416666666666671,14.0,10.0,13.652892561983471,0.09090909090908994,0
681,29,Sunny,29540000,0.3999999999999999,0.20000000000000018,2.5159090909090907,0.42499999999999716,6.270833333333343,-0.3477272727272833,4.875,-1.0,3.0,-0.7803030303030303,-1.1565656565656575,0
682,20,Cloudy,55700000,0.4,1.0,1.5965909090909065,-1.3125,-6.277777777777786,1.330808080808083,-6.805555555555557,-2.0,-6.0,14.363636363636363,-2.3636363636363633,-1
683,8,Cloudy,124710000,-0.5999999999999999,0.0,8.098484848484858,-0.3333333333333286,1.3125,-1.6443985307621745,-61.30555555555556,3.0,0.0,13.024920926436076,-0.6111111111111107,-1
684,10,Showers,34490000,0.40000000000000013,0.5999999999999999,-4.443181818181813,-12.875,-3.319444444444443,-3.1919191919191974,6.194444444444443,-2.0,1.0,-2.4132231404958713,-3.2727272727272734,2
685,17,Sunny,86820000,-1.2000000000000002,0.0,6.469696969696969,-0.4166666666666714,5.166666666666671,-13.118686868686865,4.4722222222222285,4.0,1.0,15.17355371900825,0.09090909090909349,-1
686,20,Sunny,40700000,0.19999999999999996,0.19999999999999996,8.057070707070721,-2.3611111111111,-7.416666666666671,-0.017676767676761074,-0.0833333333333286,3.0,11.0,-10.54524297520661,-0.8909090909090907,-1
687,5,Rain,53030000,0.5999999999999999,0.6000000000000001,-6.075757575757578,-8.166666666666671,3.25,0.9217171717171766,6.944444444444443,7.0,-5.0,8.473071074380162,-4.007272727272728,1
688,7,Cloudy,620700000,-0.5999999999999999,-0.6000000000000001,14.429292929292927,15.611111111111114,7.0138888888888715,10.969696969696969,18.83333333333333,15.0,9.0,24.36363636363636,-0.6363636363636367,2
689,14,Sunny,153150000,0.6000000000000002,0.6000000000000001,4.492424242424235,1.5833333333333286,6.916666666666671,7.742424242424235,19.33333333333333,5.0,13.0,-13.1900826446281,0.9090909090909065,1
