,goals_for,goals_against,team,game_id
5348,1.0,1.0,Amiens SCF,534
5349,1.0,1.0,Amiens SCF,534
5350,3.0,0.0,ES Troyes AC,535
5351,3.0,1.0,ES Troyes AC,535
5352,3.0,0.0,ES Troyes AC,535
5353,1.0,0.0,ES Troyes AC,535
5354,1.0,2.0,ES Troyes AC,535
5355,1.0,0.0,EA Guingamp,535
5356,1.0,1.0,EA Guingamp,535
5357,6.0,0.0,EA Guingamp,535
5358,1.0,1.0,EA Guingamp,535
5359,0.0,2.0,EA Guingamp,535
5360,2.0,2.0,AS Saint-Etienne,536
5361,3.0,1.0,AS Saint-Etienne,536
5362,0.0,5.0,AS Saint-Etienne,536
5363,0.0,0.0,AS Saint-Etienne,536
5364,1.0,1.0,AS Saint-Etienne,536
5365,2.0,1.0,FC Nantes,536
5366,4.0,1.0,FC Nantes,536
5367,2.0,1.0,FC Nantes,536
5368,1.0,0.0,FC Nantes,536
5369,3.0,1.0,FC Nantes,536
5370,1.0,0.0,Stade Malherbe Caen,537
5371,1.0,1.0,Stade Malherbe Caen,537
5372,5.0,0.0,Stade Malherbe Caen,537
5373,1.0,0.0,Stade Malherbe Caen,537
5374,0.0,1.0,Stade Malherbe Caen,537
5375,0.0,5.0,Olympique Lyonnais,537
5376,4.0,0.0,Olympique Lyonnais,537
5377,0.0,0.0,Olympique Lyonnais,537
5378,0.0,5.0,Olympique Lyonnais,537
5379,3.0,0.0,Olympique Lyonnais,537
5380,3.0,0.0,Montpellier-HSC,538
5381,0.0,0.0,Montpellier-HSC,538
5382,1.0,1.0,Montpellier-HSC,538
5383,0.0,1.0,Montpellier-HSC,538
5384,0.0,2.0,Montpellier-HSC,538
5385,1.0,0.0,Olympique de Marseille,538
5386,1.0,1.0,Olympique de Marseille,538
5387,1.0,1.0,Olympique de Marseille,538
5388,5.0,0.0,Olympique de Marseille,538
5389,1.0,0.0,Olympique de Marseille,538
5390,3.0,0.0,FC Girondins de Bordeaux,539
5391,1.0,0.0,FC Girondins de Bordeaux,539
5392,1.0,1.0,FC Girondins de Bordeaux,539
5393,1.0,0.0,FC Girondins de Bordeaux,539
5394,0.0,2.0,FC Girondins de Bordeaux,539
5395,0.0,0.0,RC Strasbourg,539
5396,2.0,2.0,RC Strasbourg,539
5397,2.0,1.0,RC Strasbourg,539
5398,3.0,0.0,RC Strasbourg,539
5399,2.0,2.0,RC Strasbourg,539
5400,3.0,1.0,Paris Saint-Germain FC,540
5401,2.0,1.0,Paris Saint-Germain FC,540
5402,2.0,0.0,Paris Saint-Germain FC,540
5403,1.0,2.0,Paris Saint-Germain FC,540
5404,2.0,0.0,Paris Saint-Germain FC,540
5405,1.0,2.0,Lille OSC,540
5406,3.0,0.0,Lille OSC,540
5407,3.0,0.0,Lille OSC,540
5408,3.0,1.0,Lille OSC,540
5409,0.0,3.0,Lille OSC,540
5410,1.0,2.0,Angers SCO,541
5411,3.0,0.0,Angers SCO,541
5412,1.0,1.0,Angers SCO,541
5413,0.0,5.0,Angers SCO,541
5414,2.0,2.0,Angers SCO,541
5415,0.0,0.0,Montpellier-HSC,541
5416,3.0,0.0,Montpellier-HSC,541
5417,0.0,0.0,Montpellier-HSC,541
5418,1.0,1.0,Montpellier-HSC,541
5419,0.0,1.0,Montpellier-HSC,541
5420,0.0,0.0,EA Guingamp,542
5421,1.0,0.0,EA Guingamp,542
5422,1.0,1.0,EA Guingamp,542
5423,6.0,0.0,EA Guingamp,542
5424,1.0,1.0,EA Guingamp,542
5425,2.0,1.0,Dijon FCO,542
5426,3.0,1.0,Dijon FCO,542
5427,3.0,1.0,Dijon FCO,542
5428,1.0,0.0,Dijon FCO,542
5429,1.0,0.0,Dijon FCO,542
5430,0.0,3.0,FC Metz,543
5431,0.0,2.0,FC Metz,543
5432,0.0,0.0,FC Metz,543
5433,0.0,3.0,FC Metz,543
5434,2.0,0.0,FC Metz,543
5435,1.0,2.0,Stade Rennais FC,543
5436,2.0,1.0,Stade Rennais FC,543
5437,2.0,1.0,Stade Rennais FC,543
5438,1.0,0.0,Stade Rennais FC,543
5439,0.0,1.0,Stade Rennais FC,543
5440,5.0,2.0,AS Monaco,544
5441,1.0,0.0,AS Monaco,544
5442,1.0,0.0,AS Monaco,544
5443,1.0,2.0,AS Monaco,544
5444,2.0,2.0,AS Monaco,544
5445,2.0,0.0,ES Troyes AC,544
5446,3.0,0.0,ES Troyes AC,544
5447,3.0,1.0,ES Troyes AC,544
5448,3.0,0.0,ES Troyes AC,544
5449,1.0,0.0,ES Troyes AC,544
5450,1.0,2.0,Toulouse FC,545
5451,3.0,1.0,Toulouse FC,545
5452,0.0,0.0,Toulouse FC,545
5453,2.0,1.0,Toulouse FC,545
5454,0.0,0.0,Toulouse FC,545
5455,0.0,0.0,Stade Malherbe Caen,545
5456,1.0,0.0,Stade Malherbe Caen,545
5457,1.0,1.0,Stade Malherbe Caen,545
5458,5.0,0.0,Stade Malherbe Caen,545
5459,1.0,0.0,Stade Malherbe Caen,545
5460,2.0,1.0,Amiens SCF,546
5461,0.0,2.0,Amiens SCF,546
5462,3.0,0.0,Amiens SCF,546
5463,1.0,1.0,Amiens SCF,546
5464,1.0,1.0,Amiens SCF,546
5465,1.0,2.0,Olympique Lyonnais,546
5466,1.0,2.0,Olympique Lyonnais,546
5467,0.0,5.0,Olympique Lyonnais,546
5468,4.0,0.0,Olympique Lyonnais,546
5469,0.0,0.0,Olympique Lyonnais,546
5470,1.0,0.0,FC Nantes,547
5471,2.0,1.0,FC Nantes,547
5472,4.0,1.0,FC Nantes,547
5473,2.0,1.0,FC Nantes,547
5474,1.0,0.0,FC Nantes,547
5475,3.0,1.0,OGC Nice,547
5476,1.0,2.0,OGC Nice,547
5477,0.0,5.0,OGC Nice,547
5478,3.0,1.0,OGC Nice,547
5479,1.0,1.0,OGC Nice,547
5480,1.0,1.0,Olympique de Marseille,548
5481,0.0,3.0,Olympique de Marseille,548
5482,1.0,0.0,Olympique de Marseille,548
5483,1.0,1.0,Olympique de Marseille,548
5484,1.0,1.0,Olympique de Marseille,548
5485,3.0,0.0,AS Saint-Etienne,548
5486,2.0,2.0,AS Saint-Etienne,548
5487,3.0,1.0,AS Saint-Etienne,548
5488,0.0,5.0,AS Saint-Etienne,548
5489,0.0,0.0,AS Saint-Etienne,548
5490,1.0,1.0,AS Saint-Etienne,549
5491,3.0,0.0,AS Saint-Etienne,549
5492,2.0,2.0,AS Saint-Etienne,549
5493,3.0,1.0,AS Saint-Etienne,549
5494,0.0,5.0,AS Saint-Etienne,549
5495,3.0,2.0,AS Monaco,549
5496,2.0,1.0,AS Monaco,549
5497,5.0,2.0,AS Monaco,549
5498,1.0,0.0,AS Monaco,549
5499,1.0,0.0,AS Monaco,549
5500,1.0,1.0,Stade Rennais FC,550
5501,2.0,0.0,Stade Rennais FC,550
5502,1.0,2.0,Stade Rennais FC,550
5503,2.0,1.0,Stade Rennais FC,550
5504,2.0,1.0,Stade Rennais FC,550
5505,3.0,1.0,Paris Saint-Germain FC,550
5506,3.0,1.0,Paris Saint-Germain FC,550
5507,3.0,1.0,Paris Saint-Germain FC,550
5508,2.0,1.0,Paris Saint-Germain FC,550
5509,2.0,0.0,Paris Saint-Germain FC,550
5510,2.0,0.0,Stade Malherbe Caen,551
5511,1.0,2.0,Stade Malherbe Caen,551
5512,0.0,0.0,Stade Malherbe Caen,551
