,name,position,team,game_id,player_id
292,Monconduit,DM,Amiens SCF,13,58347
293,Manzala,FW,Amiens SCF,13,103730
294,Charrier,MF,Amiens SCF,13,23174
295,Kakuta,FW,Amiens SCF,13,31873
296,Koita,FW,Amiens SCF,13,117365
297,Letellier,XX,Angers SCO,13,51107
298,Manceau,DF,Angers SCO,13,51109
299,Pavlović,DF,Angers SCO,13,61304
300,Thomas,DF,Angers SCO,13,22488
301,Andreu,DF,Angers SCO,13,30880
302,Coulibaly,MF,Angers SCO,13,103920
303,Santamaria,FW,Angers SCO,13,103910
304,Mangani,DM,Angers SCO,13,559
305,Capelle,MF,Angers SCO,13,73537
306,Crivelli,FW,Angers SCO,13,86701
307,Sunu,FW,Angers SCO,13,40755
308,Costil,XX,FC Girondins de Bordeaux,14,11144
309,Sabaly,DF,FC Girondins de Bordeaux,14,80337
310,Toulalan,DM,FC Girondins de Bordeaux,14,1117
311,Jovanović,DF,FC Girondins de Bordeaux,14,101649
312,Pellenard,DF,FC Girondins de Bordeaux,14,85644
313,Vada,MF,FC Girondins de Bordeaux,14,107096
314,Lerager,MF,FC Girondins de Bordeaux,14,80963
315,Sankharé,MF,FC Girondins de Bordeaux,14,11617
316,Malcom,FW,FC Girondins de Bordeaux,14,89633
317,Mendy,FW,FC Girondins de Bordeaux,14,103919
318,Kamano,FW,FC Girondins de Bordeaux,14,93209
319,Didillon,XX,FC Metz,14,103893
320,Rivierez,DF,FC Metz,14,44581
321,Biševac,DF,FC Metz,14,5961
322,Diagne,DF,FC Metz,14,28322
323,Assou Ekotto,DF,FC Metz,14,778
324,Poblete,MF,FC Metz,14,62314
325,Philipps,DM,FC Metz,14,71035
326,Jouffre,MF,FC Metz,14,15193
327,Cohade,MF,FC Metz,14,11220
328,Nguette,FW,FC Metz,14,73715
329,Roux,FW,FC Metz,14,28351
330,Vercoutre,XX,Stade Malherbe Caen,15,1264
331,Guilbert,DF,Stade Malherbe Caen,15,98543
332,Da Silva,DF,Stade Malherbe Caen,15,21684
333,Djiku,DF,Stade Malherbe Caen,15,75891
334,Bessat,MF,Stade Malherbe Caen,15,11245
335,Delaplace,MF,Stade Malherbe Caen,15,48879
336,Avounou,MF,Stade Malherbe Caen,15,117368
337,Feret,AM,Stade Malherbe Caen,15,15387
338,Rodelin,FW,Stade Malherbe Caen,15,32238
339,Santini,FW,Stade Malherbe Caen,15,33266
340,Bazile,FW,Stade Malherbe Caen,15,30579
341,Ruffier,XX,AS Saint-Etienne,15,11267
342,Janko,DF,AS Saint-Etienne,15,93883
343,Théophile-Catherine,DF,AS Saint-Etienne,15,29589
344,Perrin,DF,AS Saint-Etienne,15,6789
345,Pierre-Gabriel,DF,AS Saint-Etienne,15,107063
346,Dabo,DM,AS Saint-Etienne,15,47559
347,Selnæs,DM,AS Saint-Etienne,15,60538
348,Diousse,DM,AS Saint-Etienne,15,96852
349,Tannane,FW,AS Saint-Etienne,15,73289
350,Bamba,FW,AS Saint-Etienne,15,96869
351,Hamouma,FW,AS Saint-Etienne,15,41212
352,Lafont,XX,Toulouse FC,16,107060
353,Michelin,DF,Toulouse FC,16,110218
354,Amian,DF,Toulouse FC,16,105292
355,Jullien,DF,Toulouse FC,16,69598
356,Moubandje,DF,Toulouse FC,16,60636
357,Machach,MF,Toulouse FC,16,101555
358,Cahuzac,DM,Toulouse FC,16,22360
359,Bodiger,DM,Toulouse FC,16,93219
360,Durmaz,FW,Toulouse FC,16,23606
361,Toivonen,FW,Toulouse FC,16,5798
362,Delort,FW,Toulouse FC,16,41327
363,Lecomte,XX,Montpellier-HSC,16,51234
364,Mukiele,DF,Montpellier-HSC,16,106875
365,Pedro Mendes,DF,Montpellier-HSC,16,66639
366,Congré,DF,Montpellier-HSC,16,5791
