,Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials,Home Team Result,Home Rank,Away Rank,Home Temp,Home Rain,Home GDP (millions),Home Population,Home GDP per Person (dollars),Away Temp,Away Rain,Away GDP (millions),Away Population,Away GDP per Person (dollars),Home Team Line,Away Team Line
43,2006,19 Jun 2006 - 18:00 ,Group H,"FIFA World Cup Stadium, Hamburg",Hamburg ,Saudi Arabia,0,4,Ukraine, ,50000.0,0,2,POLL Graham (ENG),SHARP Philip (ENG),TURNER Glenn (ENG),97410100,97410032,KSA,UKR,L,34,45,24.65,59.0,683827.0,33554343.0,20379.69,8.30,1875.0,109321.0,44009214.0,2484.05,50000,4000
44,2006,26 Jun 2006 - 21:00 ,Round of 16,"FIFA World Cup Stadium, Cologne",Cologne ,Switzerland,0,0,Ukraine,Ukraine win on penalties (0 - 3) ,45000.0,0,0,ARCHUNDIA Benito (MEX),RAMIREZ Jose (MEX),VERGARA Hector (CAN),97410200,97410054,SUI,UKR,L,35,45,5.50,1537.0,678575.0,8544034.0,79420.92,8.30,1875.0,109321.0,44009214.0,2484.05,10000,4000
45,2006,09 Jul 2006 - 20:00 ,Final,Olympiastadion,Berlin ,Italy,1,1,France,Italy win on penalties (5 - 3) ,69000.0,0,0,ELIZONDO Horacio (ARG),GARCIA Dario (ARG),OTERO Rodolfo (ARG),97410600,97410064,ITA,FRA,W,13,8,13.45,832.0,1937894.0,59290969.0,32684.47,10.70,867.0,2583560.0,65233271.0,39604.94,800,1200
46,2006,01 Jul 2006 - 21:00 ,Quarter-finals,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,Brazil,0,1,France, ,48000.0,0,0,MEDINA CANTALEJO Luis (ESP),GIRALDEZ CARRASCO Victoriano (ESP),MEDINA HERNANDEZ Pedro (ESP),97410300,97410060,BRA,FRA,L,1,8,24.95,1782.0,2054969.0,210867954.0,9745.29,10.70,867.0,2583560.0,65233271.0,39604.94,250,1200
47,2006,27 Jun 2006 - 21:00 ,Round of 16,"FIFA World Cup Stadium, Hanover",Hanover ,Spain,1,3,France, ,43000.0,1,1,ROSETTI Roberto (ITA),COPELLI Cristiano (ITA),STAGNOLI Alessandro (ITA),97410200,97410056,ESP,FRA,L,5,8,13.30,636.0,1313951.0,46397452.0,28319.46,10.70,867.0,2583560.0,65233271.0,39604.94,1500,1200
48,2006,05 Jul 2006 - 21:00 ,Semi-finals,"FIFA World Cup Stadium, Munich",Munich ,Portugal,0,1,France, ,66000.0,0,1,LARRIONDA Jorge (URU),RIAL Walter (URU),FANDINO Pablo (URU),97410400,97410062,POR,FRA,L,7,8,15.15,854.0,218064.0,10291196.0,21189.37,10.70,867.0,2583560.0,65233271.0,39604.94,1800,1200
49,2006,23 Jun 2006 - 21:00 ,Group G,"FIFA World Cup Stadium, Cologne",Cologne ,Togo,0,2,France, ,45000.0,0,0,LARRIONDA Jorge (URU),RIAL Walter (URU),FANDINO Pablo (URU),97410100,97410045,TOG,FRA,L,61,8,27.15,1168.0,4797.0,7990926.0,600.31,10.70,867.0,2583560.0,65233271.0,39604.94,25000,1200
50,2006,13 Jun 2006 - 15:00 ,Group G,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,Korea Republic,2,1,Togo, ,48000.0,0,1,POLL Graham (ENG),SHARP Philip (ENG),TURNER Glenn (ENG),97410100,97410014,KOR,TOG,W,29,61,11.50,1274.0,1538030.0,51164435.0,30060.53,27.15,1168.0,4797.0,7990926.0,600.31,20000,25000
51,2006,13 Jun 2006 - 18:00 ,Group G,Gottlieb-Daimler-Stadion,Stuttgart ,France,0,0,Switzerland, ,52000.0,0,0,IVANOV Valentin (RUS),GOLUBEV Nikolai (RUS),VOLNIN Evgueni (RUS),97410100,97410013,FRA,SUI,D,8,35,10.70,867.0,2583560.0,65233271.0,39604.94,5.50,1537.0,678575.0,8544034.0,79420.92,1200,10000
52,2006,19 Jun 2006 - 15:00 ,Group G,"FIFA World Cup Stadium, Dortmund",Dortmund ,Togo,0,2,Switzerland, ,65000.0,0,1,AMARILLA Carlos (PAR),ANDINO Amelio (PAR),BERNAL Manuel (PAR),97410100,97410030,TOG,SUI,L,61,35,27.15,1168.0,4797.0,7990926.0,600.31,5.50,1537.0,678575.0,8544034.0,79420.92,25000,10000
53,2006,18 Jun 2006 - 21:00 ,Group G,Zentralstadion,Leipzig ,France,1,1,Korea Republic, ,43000.0,1,0,ARCHUNDIA Benito (MEX),RAMIREZ Jose (MEX),VERGARA Hector (CAN),97410100,97410029,FRA,KOR,D,8,29,10.70,867.0,2583560.0,65233271.0,39604.94,11.50,1274.0,1538030.0,51164435.0,30060.53,1200,20000
54,2006,23 Jun 2006 - 21:00 ,Group G,"FIFA World Cup Stadium, Hanover",Hanover ,Switzerland,2,0,Korea Republic, ,43000.0,1,0,ELIZONDO Horacio (ARG),GARCIA Dario (ARG),OTERO Rodolfo (ARG),97410100,97410046,SUI,KOR,W,35,29,5.50,1537.0,678575.0,8544034.0,79420.92,11.50,1274.0,1538030.0,51164435.0,30060.53,10000,20000
55,2006,13 Jun 2006 - 21:00 ,Group F,Olympiastadion,Berlin ,Brazil,1,0,Croatia, ,72000.0,1,0,ARCHUNDIA Benito (MEX),RAMIREZ Jose (MEX),VERGARA Hector (CAN),97410100,97410011,BRA,CRO,W,1,23,24.95,1782.0,2054969.0,210867954.0,9745.29,10.90,1113.0,54516.0,4164783.0,13089.76,250,5000
56,2006,18 Jun 2006 - 15:00 ,Group F,Franken-Stadion,Nuremberg ,Japan,0,0,Croatia, ,41000.0,0,0,DE BLEECKERE Frank (BEL),HERMANS Peter (BEL),VROMANS Walter (BEL),97410100,97410028,JPN,CRO,D,18,23,11.15,1668.0,4872135.0,127185332.0,38307.37,10.90,1113.0,54516.0,4164783.0,13089.76,15000,5000
57,2006,19 Jun 2006 - 21:00 ,Group H,Gottlieb-Daimler-Stadion,Stuttgart ,Spain,3,1,Tunisia, ,52000.0,0,1,SIMON Carlos (BRA),TAVARES Aristeu (BRA),CORONA Ednilson (BRA),97410100,97410031,ESP,TUN,W,5,21,13.30,636.0,1313951.0,46397452.0,28319.46,19.20,207.0,40275.0,11659174.0,3454.36,1500,20000
58,2006,23 Jun 2006 - 16:00 ,Group H,Olympiastadion,Berlin ,Ukraine,1,0,Tunisia, ,72000.0,0,0,AMARILLA Carlos (PAR),ANDINO Amelio (PAR),BERNAL Manuel (PAR),97410100,97410048,UKR,TUN,W,45,21,8.30,1875.0,109321.0,44009214.0,2484.05,19.20,207.0,40275.0,11659174.0,3454.36,4000,20000
59,2006,14 Jun 2006 - 18:00 ,Group H,"FIFA World Cup Stadium, Munich",Munich ,Tunisia,2,2,Saudi Arabia, ,66000.0,1,0,SHIELD Mark (AUS),GIBSON Nathan (AUS),WILSON Ben (AUS),97410100,97410016,TUN,KSA,D,21,34,19.20,207.0,40275.0,11659174.0,3454.36,24.65,59.0,683827.0,33554343.0,20379.69,20000,50000
60,2006,20 Jun 2006 - 16:00 ,Group A,Olympiastadion,Berlin ,Ecuador,0,3,Germany, ,72000.0,0,2,IVANOV Valentin (RUS),GOLUBEV Nikolai (RUS),VOLNIN Evgueni (RUS),97410100,97410033,ECU,GER,L,39,19,21.85,2087.0,102311.0,16863425.0,6067.04,8.50,700.0,3684816.0,82293457.0,44776.54,20000,600
61,2006,20 Jun 2006 - 21:00 ,Group B,"FIFA World Cup Stadium, Cologne",Cologne ,Sweden,2,2,England, ,45000.0,0,1,BUSACCA Massimo (SUI),BURAGINA Francesco (SUI),ARNET Matthias (SUI),97410100,97410035,SWE,ENG,D,16,10,2.10,624.0,538575.0,9982709.0,53950.79,8.45,1220.0,2624529.0,66573504.0,39423.03,3000,700
62,2006,22 Jun 2006 - 21:00 ,Group F,"FIFA World Cup Stadium, Dortmund",Dortmund ,Japan,1,4,Brazil, ,65000.0,1,1,POULAT Eric (FRA),DAGORNE Lionel (FRA),TEXIER Vincent (FRA),97410100,97410043,JPN,BRA,L,18,1,11.15,1668.0,4872135.0,127185332.0,38307.37,24.95,1782.0,2054969.0,210867954.0,9745.29,15000,250
63,2006,23 Jun 2006 - 16:00 ,Group H,Fritz-Walter-Stadion,Kaiserslautern ,Saudi Arabia,0,1,Spain, ,46000.0,0,1,CODJIA Coffi (BEN),NTAGUNGIRA Celestin (RWA),ADERODJOU Aboudou (BEN),97410100,97410047,KSA,ESP,L,34,5,24.65,59.0,683827.0,33554343.0,20379.69,13.30,636.0,1313951.0,46397452.0,28319.46,50000,1500
64,2010,11 Jun 2010 - 16:00 ,Group A,Soccer City Stadium,Johannesburg ,South Africa,1,1,Mexico, ,84490.0,0,0,Ravshan IRMATOV (UZB),ILYASOV Rafael (UZB),KOCHKAROV Bakhadyr (KGZ),249722,300061454,RSA,MEX,D,83,17,17.75,495.0,349299.0,57398421.0,6085.52,21.00,752.0,1149236.0,130759074.0,8788.96,10000,6600
