,name,age,position,ovr_rating,pot_rating
0,Mame Diouf,26,ST,79,81
1,Victor,31,GK,79,80
2,Keisuke Honda,28,RMCAM,79,84
3,Sven Ulreich,26,GK,79,82
4,Ömer Toprak,25,CB,79,82
5,Azpilicueta,25,LBRB,79,82
6,Leonardo Bonucci,27,CB,79,84
7,Fernando,27,CDM,79,83
8,Aurélien Chedjou,29,CB,79,81
9,Valentin Stocker,25,LM,79,83
10,Martín Cáceres,27,CBRB,79,86
11,Vedran Ćorluka,28,CB,79,80
12,Adam Lallana,26,CAMRMLM,79,83
13,Simon Kjær,25,CB,79,81
14,Adel Taarabt,25,LMRMCAM,79,86
15,Pablo Daniel Osvaldo,28,ST,79,79
16,Olivier Giroud,27,ST,79,80
17,Yann Sommer,25,GK,79,84
18,Beñat,27,CMCDM,79,84
19,Adrián Ramos,28,ST,79,79
20,Pedro León,27,RMCAM,79,81
21,Matías Fernández,28,CAMCMCF,79,80
22,Gonzalo Castro,30,LWLMCAM,79,79
23,Davide Astori,27,CB,79,82
24,Mikel Gonzalez,28,CB,79,80
25,Fábio Coentrão,26,LB,79,86
26,Raúl García,28,RMCAMLMST,79,82
27,José Enrique,28,LB,79,80
28,Tim Krul,26,GK,79,84
29,Jonny Evans,26,CB,79,82
0,Semih Kaya,23,CB,79,84
1,Roman Shirokov,33,CM,79,79
2,Rasmus Elm,26,CDM,79,82
3,John Obi Mikel,27,CDMCM,79,80
4,Ashley Williams,30,CB,79,79
5,John Ruddy,27,GK,79,81
6,Andrea Consigli,27,GK,79,83
7,Younès Kaboul,28,CB,79,79
8,Valon Behrami,29,CDMCM,79,79
9,Javi García,27,CDMCMCB,79,80
10,Hatem Ben Arfa,27,RMRWCAM,79,80
11,Fred,30,ST,79,79
12,Jesús Gámez,29,RB,79,79
13,Loïc Perrin,29,CBRB,79,80
14,Gökhan Inler,30,CDMCM,79,79
15,Thomas Vermaelen,28,CBLB,79,79
16,Mathieu Flamini,30,CDMCM,79,79
17,Roman Eremenko,27,CAMLM,79,81
18,Yuriy Zhirkov,31,LMLB,79,79
19,Yoann Gourcuff,28,CAMLM,79,83
20,André-Pierre Gignac,28,ST,79,79
21,Ashley Young,29,LMRM,79,79
22,Aaron Lennon,27,RM,79,80
23,Ivica Olić,35,ST,79,79
24,Alexandr Samedov,30,RMCAM,79,79
25,Juanfran,29,RBRMLB,79,79
26,Tolga Zengin,30,GK,79,79
27,Germán Denis,33,ST,79,79
28,Gonzalo Rodríguez,30,CB,79,79
29,Diego Milito,35,ST,79,79
0,Jô,27,ST,79,82
1,Antonio Mirante,31,GK,79,79
2,Vincent Enyeama,32,GK,79,79
3,Wilfredo Caballero,32,GK,79,79
4,Joleon Lescott,32,CB,79,79
5,Diego Tardelli,29,RWCAM,79,79
6,Goran Pandev,31,CFCAM,79,79
7,Martín Demichelis,33,CB,79,79
8,Selçuk İnan,29,CMCDM,79,82
9,Michael Dawson,30,CB,79,79
10,Kolo Touré,33,CB,79,79
11,Rubén Castro,33,STLM,79,79
12,Stephan Lichtsteiner,30,RMRB,79,79
13,Mirko Vučinić,30,ST,79,79
14,Aduriz,33,ST,79,79
15,Jean Francois Gillet,35,GK,79,79
16,Alberto Aquilani,30,CMCDM,79,79
17,Stefano Mauri,34,CAMLMRMCM,79,79
18,Joaquín,33,RWLW,79,79
19,Claudio Pizarro,35,STCAM,79,79
20,Juan Román Riquelme,36,CAM,79,79
21,Landon Donovan,32,LMST,79,79
22,Rio Ferdinand,35,CB,79,79
23,Thierry Henry,37,CFSTLM,79,79
24,Martin Stranzl,34,CB,79,79
25,Robbie Keane,34,STCF,79,79
26,Juan Fernando Quintero,21,CAM,78,86
27,Marco Aurelio Etxeberría,27,LMLB,78,83
28,Ederson,25,ST,78,81
29,Marquinhos,20,CB,78,89
0,Carlos Bacca,28,STRM,78,78
1,William Carvalho,22,CDM,78,85
2,Eduardo Vargas,24,RWSTCAMLW,78,83
3,Stefan Savić,23,CB,78,83
4,Gastón Ramirez,23,CAMRM,78,82
5,Jasper Cillessen,25,GK,78,81
6,Lacina Traoré,24,ST,78,84
7,Alex Oxlade-Chamberlain,21,RMCM,78,86
8,Philipp Wollscheid,25,CB,78,81
9,Oliver Baumann,24,GK,78,82
10,Rémy Cabella,24,CAM,78,83
11,Mattia Destro,23,ST,78,84
12,Alexandre Lacazette,23,STRWCF,78,84
13,Keylor Navas,27,GK,78,82
14,Emanuele Giaccherini,29,LMCM,78,78
15,Romain Hamouma,27,RWRMCAM,78,81
16,Alexandr Kokorin,23,STCAM,78,82
17,Maicon,26,CB,78,82
18,Kamil Glik,26,CB,78,79
19,Muniaín,21,LWCAM,78,83
20,Iturraspe,25,CDMCM,78,82
21,Susaeta,26,RWRM,78,84
22,Salomón Rondón,25,ST,78,81
23,Stefan Reinartz,25,CDMCMCB,78,80
24,Taison,26,CAMLW,78,82
25,Marcel Schmelzer,26,LB,78,81
26,Lewis Holtby,24,CAMCMCDM,78,81
27,Alex Teixeira,24,CAMCDM,78,81
28,Matías Suárez,26,LWST,78,80
29,Camacho,24,CDMCMCB,78,81
0,Steven N'Zonzi,25,CDMCM,78,81
1,Clément Grenier,23,CAMCM,78,85
2,Ganso,24,CAMCM,78,84
3,Yann M'Vila,24,CDMCM,78,86
4,Ron-Robert Zieler,25,GK,78,83
5,Danny Welbeck,23,STCFLM,78,83
6,Miroslav Stoch,24,LWLMRMRW,78,83
7,Kieran Gibbs,24,LB,78,82
8,Aleksandar Kolarov,28,LB,78,79
9,Thiago Neves,29,CAMLMRM,78,78
10,Adrien Silva,25,CMCAM,78,83
11,Kyriakos Papadopoulos,22,CBCDM,78,85
12,Toby Alderweireld,25,CBRB,78,82
13,Claudio Yacob,27,CDMCM,78,80
14,Jordan Henderson,24,CMRM,78,83
15,Max Kruse,26,CFST,78,82
16,Konstantinos Mitroglou,26,STCF,78,81
17,Balázs Dzsudzsák,27,RM,78,81
18,Beto,32,GK,78,78
19,Andrea Ranocchia,26,CB,78,82
20,Georginio Wijnaldum,23,CAMRWCM,78,83
21,Lima,31,ST,78,78
22,Alexandre PatoL,25,STCAM,78,84
23,Federico Fazio,27,CB,78,81
24,Darío Conca,31,CAM,78,78
25,Emiliano Insua,25,LB,78,82
26,Marko Marin,26,CAMLMST,78,82
27,Jeremain Lens,26,RWST,78,80
28,Etienne Capoue,26,CDMCB,78,83
29,Granero,27,CMCDM,78,81
0,Cristian Zapata,27,CB,78,84
1,Rafinha,31,LMCAMRM,78,78
2,Weligton,35,CB,78,78
3,Vieirinha,28,RMLM,78,80
4,Dimitri Payet,27,LMRM,78,82
5,Morgan Schneiderlin,24,CDMCM,78,81
6,Patrick Ebert,27,RM,78,82
7,Bojan,24,RWLWCF,78,82
8,Bryan Ruíz,29,RWCAM,78,78
9,Ola Toivonen,28,STCAM,78,78
10,Kévin Gameiro,27,ST,78,82
11,André Ayew,24,LM,78,82
12,Yura Movsisyan,27,ST,78,82
13,Adrián,26,STRMCAM,78,84
14,Héctor Moreno,26,CB,78,83
15,Domenico Criscito,27,LB,78,81
16,Luca Cigarini,28,CM,78,80
17,Varela,29,LWRW,78,78
18,Mario Suárez,27,CMCDM,78,83
19,Cheick Tioté,28,CDMCM,78,80
20,Micah Richards,26,RB,78,82
21,Ron Vlaar,29,CB,78,78
22,Emiliano Viviano,28,GK,78,78
23,Stefan Radu,27,LB,78,81
24,Brad Guzan,30,GK,78,78
25,Fernando Prass,36,GK,78,78
26,Ben Foster,31,GK,78,78
27,Rolando,29,CB,78,80
28,Abdoulay Konko,30,RB,78,78
29,Jérémy Ménez,27,LWST,78,80
0,Fabio Quagliarella,31,ST,78,78
1,Bafétimbi Gomis,29,ST,78,78
2,Christian Gentner,29,CMCDM,78,78
3,Salomon Kalou,29,STRW,78,78
4,Aaron Hunt,28,CAMCMLM,78,80
5,Benoît Costil,27,GK,78,79
6,Jorge Valdivia,30,CAMCF,78,78
7,Cícero,30,CAMCMLM,78,78
8,Michael Bradley,27,CMCDM,78,82
9,Aiden McGeady,28,RMRW,78,79
10,Vasiliy Berezutskiy,32,CB,78,78
11,Verdú,31,CAMCM,78,78
12,Javi Fuego,30,CDMCM,78,78
13,Volkan Demirel,32,GK,78,78
14,Emir Spahić,34,CB,78,78
15,Guillermo Ochoa,29,GK,78,80
16,Esteban Cambiasso,34,CDMCM,78,78
17,Diego Cavalieri,31,GK,78,78
18,Glen Johnson,30,RBLB,78,78
19,Kossi Agassa,36,GK,78,78
20,Giampaolo Pazzini,30,ST,78,78
21,Luís Fabiano,33,ST,78,78
22,Mehmet Topal,28,CDMCM,78,80
23,Simon Rolfes,32,CDMCM,78,78
24,Jérémy Mathieu,30,CBLBLM,78,79
25,Maximiliano Rodríguez,33,LW,78,78
26,Iraola,32,RB,78,78
27,Nigel de Jong,29,CDMCM,78,84
28,Cristian Ledesma,31,CDMCM,78,78
29,Diego Forlán,35,ST,78,78
0,Philippe Mexès,32,CB,78,78
1,Zé Roberto,40,CAMLM,78,78
2,Ricardo Costa,33,CBRB,78,78
3,Brad Friedel,43,GK,78,78
4,Djibril Cissé,33,ST,78,78
5,Sebastian Kehl,34,CDM,78,78
6,Eliseu,30,LMLB,78,78
7,Yuriy Lodygin,24,GK,77,83
8,Bruno Fernandes,20,CAMCMCFLW,77,84
9,Lazar Marković,20,RMLM,77,87
10,Bruma,19,LWRW,77,88
11,Alexandru Maxim,24,CAMCF,77,82
12,Mohamed Salah,22,RMLM,77,87
13,Simón Romerón,25,STCF,77,81
14,Juande Aranguren,33,LMCAM,77,77
15,Mattia De Sciglio,21,RBLB,77,88
16,Matija Nastasić,21,CB,77,86
17,Florian Thauvin,21,RMCAM,77,84
18,Carvajal,22,RB,77,83
